"filters1","kernel_size1","pool_size1","filters2","kernel_size2","dense_units","dropout_cnn","dropout_dense","learning_rate","batch_size","epochs","val_accuracy","num_actual_epochs"
64,7,2,64,5,64,0.2,0.3,0.01,16,30,0.485436886548996,30
32,3,2,128,5,64,0.2,0.3,0.01,16,30,0.475728154182434,23
64,3,2,128,5,64,0.2,0.3,0.01,16,30,0.524271845817566,16
128,3,2,128,5,64,0.2,0.3,0.01,16,30,0.475728154182434,17
32,5,2,128,5,64,0.2,0.3,0.01,16,30,0.495145618915558,30
64,5,2,128,5,64,0.2,0.3,0.01,16,30,0.466019421815872,18
128,5,2,128,5,64,0.2,0.3,0.01,16,30,0.466019421815872,17
32,7,2,128,5,64,0.2,0.3,0.01,16,30,0.475728154182434,25
64,7,2,128,5,64,0.2,0.3,0.01,16,30,0.495145618915558,18
128,7,2,128,5,64,0.2,0.3,0.01,16,30,0.514563083648682,30
32,3,2,0,3,128,0.2,0.3,0.01,16,30,0.475728154182434,30
64,3,2,0,3,128,0.2,0.3,0.01,16,30,0.475728154182434,30
128,3,2,0,3,128,0.2,0.3,0.01,16,30,0.485436886548996,25
32,5,2,0,3,128,0.2,0.3,0.01,16,30,0.495145618915558,30
64,5,2,0,3,128,0.2,0.3,0.01,16,30,0.504854381084442,30
128,5,2,0,3,128,0.2,0.3,0.01,16,30,0.485436886548996,30
32,7,2,0,3,128,0.2,0.3,0.01,16,30,0.475728154182434,16
64,7,2,0,3,128,0.2,0.3,0.01,16,30,0.495145618915558,30
128,7,2,0,3,128,0.2,0.3,0.01,16,30,0.485436886548996,29
32,3,2,64,3,128,0.2,0.3,0.01,16,30,0.514563083648682,30
64,3,2,64,3,128,0.2,0.3,0.01,16,30,0.466019421815872,24
32,5,2,64,3,128,0.2,0.3,0.01,16,30,0.466019421815872,30
64,5,2,64,3,128,0.2,0.3,0.01,16,30,0.495145618915558,16
32,7,2,64,3,128,0.2,0.3,0.01,16,30,0.485436886548996,30
64,7,2,64,3,128,0.2,0.3,0.01,16,30,0.466019421815872,17
32,3,2,128,3,128,0.2,0.3,0.01,16,30,0.466019421815872,18
64,3,2,128,3,128,0.2,0.3,0.01,16,30,0.466019421815872,19
128,3,2,128,3,128,0.2,0.3,0.01,16,30,0.45631068944931,18
32,5,2,128,3,128,0.2,0.3,0.01,16,30,0.485436886548996,16
64,5,2,128,3,128,0.2,0.3,0.01,16,30,0.485436886548996,28
128,5,2,128,3,128,0.2,0.3,0.01,16,30,0.495145618915558,30
32,7,2,128,3,128,0.2,0.3,0.01,16,30,0.514563083648682,30
64,7,2,128,3,128,0.2,0.3,0.01,16,30,0.495145618915558,30
128,7,2,128,3,128,0.2,0.3,0.01,16,30,0.53398060798645,30
32,3,2,64,5,128,0.2,0.3,0.01,16,30,0.495145618915558,30
64,3,2,64,5,128,0.2,0.3,0.01,16,30,0.514563083648682,16
32,5,2,64,5,128,0.2,0.3,0.01,16,30,0.475728154182434,30
64,5,2,64,5,128,0.2,0.3,0.01,16,30,0.504854381084442,30
32,7,2,64,5,128,0.2,0.3,0.01,16,30,0.475728154182434,21
64,7,2,64,5,128,0.2,0.3,0.01,16,30,0.485436886548996,30
32,3,2,128,5,128,0.2,0.3,0.01,16,30,0.495145618915558,17
64,3,2,128,5,128,0.2,0.3,0.01,16,30,0.53398060798645,30
128,3,2,128,5,128,0.2,0.3,0.01,16,30,0.475728154182434,28
32,5,2,128,5,128,0.2,0.3,0.01,16,30,0.514563083648682,30
64,5,2,128,5,128,0.2,0.3,0.01,16,30,0.495145618915558,30
128,5,2,128,5,128,0.2,0.3,0.01,16,30,0.475728154182434,27
32,7,2,128,5,128,0.2,0.3,0.01,16,30,0.495145618915558,21
64,7,2,128,5,128,0.2,0.3,0.01,16,30,0.524271845817566,18
128,7,2,128,5,128,0.2,0.3,0.01,16,30,0.495145618915558,18
32,3,2,0,3,256,0.2,0.3,0.01,16,30,0.466019421815872,30
64,3,2,0,3,256,0.2,0.3,0.01,16,30,0.495145618915558,30
128,3,2,0,3,256,0.2,0.3,0.01,16,30,0.475728154182434,30
32,5,2,0,3,256,0.2,0.3,0.01,16,30,0.475728154182434,21
64,5,2,0,3,256,0.2,0.3,0.01,16,30,0.466019421815872,20
128,5,2,0,3,256,0.2,0.3,0.01,16,30,0.446601927280426,17
32,7,2,0,3,256,0.2,0.3,0.01,16,30,0.485436886548996,18
64,7,2,0,3,256,0.2,0.3,0.01,16,30,0.45631068944931,21
128,7,2,0,3,256,0.2,0.3,0.01,16,30,0.45631068944931,21
32,3,2,64,3,256,0.2,0.3,0.01,16,30,0.495145618915558,30
64,3,2,64,3,256,0.2,0.3,0.01,16,30,0.485436886548996,30
32,5,2,64,3,256,0.2,0.3,0.01,16,30,0.495145618915558,30
64,5,2,64,3,256,0.2,0.3,0.01,16,30,0.45631068944931,16
32,7,2,64,3,256,0.2,0.3,0.01,16,30,0.485436886548996,27
64,7,2,64,3,256,0.2,0.3,0.01,16,30,0.524271845817566,30
32,3,2,128,3,256,0.2,0.3,0.01,16,30,0.504854381084442,30
64,3,2,128,3,256,0.2,0.3,0.01,16,30,0.466019421815872,16
128,3,2,128,3,256,0.2,0.3,0.01,16,30,0.485436886548996,30
32,5,2,128,3,256,0.2,0.3,0.01,16,30,0.504854381084442,30
64,5,2,128,3,256,0.2,0.3,0.01,16,30,0.446601927280426,17
128,5,2,128,3,256,0.2,0.3,0.01,16,30,0.485436886548996,23
32,7,2,128,3,256,0.2,0.3,0.01,16,30,0.495145618915558,30
64,7,2,128,3,256,0.2,0.3,0.01,16,30,0.495145618915558,30
128,7,2,128,3,256,0.2,0.3,0.01,16,30,0.504854381084442,30
32,3,2,64,5,256,0.2,0.3,0.01,16,30,0.495145618915558,30
64,3,2,64,5,256,0.2,0.3,0.01,16,30,0.504854381084442,30
32,5,2,64,5,256,0.2,0.3,0.01,16,30,0.466019421815872,30
64,5,2,64,5,256,0.2,0.3,0.01,16,30,0.504854381084442,30
32,7,2,64,5,256,0.2,0.3,0.01,16,30,0.495145618915558,30
64,7,2,64,5,256,0.2,0.3,0.01,16,30,0.485436886548996,23
32,3,2,128,5,256,0.2,0.3,0.01,16,30,0.495145618915558,30
64,3,2,128,5,256,0.2,0.3,0.01,16,30,0.514563083648682,30
128,3,2,128,5,256,0.2,0.3,0.01,16,30,0.45631068944931,17
32,5,2,128,5,256,0.2,0.3,0.01,16,30,0.485436886548996,30
64,5,2,128,5,256,0.2,0.3,0.01,16,30,0.466019421815872,19
128,5,2,128,5,256,0.2,0.3,0.01,16,30,0.45631068944931,16
32,7,2,128,5,256,0.2,0.3,0.01,16,30,0.485436886548996,30
64,7,2,128,5,256,0.2,0.3,0.01,16,30,0.495145618915558,30
128,7,2,128,5,256,0.2,0.3,0.01,16,30,0.466019421815872,17
32,3,2,0,3,64,0.3,0.3,0.01,16,30,0.475728154182434,30
64,3,2,0,3,64,0.3,0.3,0.01,16,30,0.495145618915558,30
128,3,2,0,3,64,0.3,0.3,0.01,16,30,0.446601927280426,17
32,5,2,0,3,64,0.3,0.3,0.01,16,30,0.485436886548996,30
64,5,2,0,3,64,0.3,0.3,0.01,16,30,0.466019421815872,16
128,5,2,0,3,64,0.3,0.3,0.01,16,30,0.466019421815872,30
32,7,2,0,3,64,0.3,0.3,0.01,16,30,0.504854381084442,30
64,7,2,0,3,64,0.3,0.3,0.01,16,30,0.504854381084442,30
128,7,2,0,3,64,0.3,0.3,0.01,16,30,0.466019421815872,17
32,3,2,64,3,64,0.3,0.3,0.01,16,30,0.475728154182434,30
64,3,2,64,3,64,0.3,0.3,0.01,16,30,0.475728154182434,30
32,5,2,64,3,64,0.3,0.3,0.01,16,30,0.475728154182434,30
64,5,2,64,3,64,0.3,0.3,0.01,16,30,0.466019421815872,16
32,7,2,64,3,64,0.3,0.3,0.01,16,30,0.466019421815872,30
64,7,2,64,3,64,0.3,0.3,0.01,16,30,0.485436886548996,30
32,3,2,128,3,64,0.3,0.3,0.01,16,30,0.446601927280426,19
64,3,2,128,3,64,0.3,0.3,0.01,16,30,0.466019421815872,16
128,3,2,128,3,64,0.3,0.3,0.01,16,30,0.485436886548996,16
32,5,2,128,3,64,0.3,0.3,0.01,16,30,0.45631068944931,17
64,5,2,128,3,64,0.3,0.3,0.01,16,30,0.495145618915558,30
128,5,2,128,3,64,0.3,0.3,0.01,16,30,0.466019421815872,30
32,7,2,128,3,64,0.3,0.3,0.01,16,30,0.466019421815872,16
64,7,2,128,3,64,0.3,0.3,0.01,16,30,0.485436886548996,30
