"units1","units2","dropout_rate1","dropout_rate2","learning_rate","batch_size","epochs","val_accuracy","num_actual_epochs"
128,64,0.4,0.4,0.001,16,30,0.495145618915558,30
256,64,0.4,0.4,0.001,16,30,0.504854381084442,30
128,128,0.4,0.4,0.001,16,30,0.553398072719574,30
256,128,0.4,0.4,0.001,16,30,0.53398060798645,28
64,32,0.2,0.2,1e-04,16,30,0.466019421815872,30
128,32,0.2,0.2,1e-04,16,30,0.466019421815872,30
256,32,0.2,0.2,1e-04,16,30,0.466019421815872,30
64,64,0.2,0.2,1e-04,16,30,0.495145618915558,30
128,64,0.2,0.2,1e-04,16,30,0.446601927280426,27
256,64,0.2,0.2,1e-04,16,30,0.398058265447617,30
128,128,0.2,0.2,1e-04,16,30,0.485436886548996,30
256,128,0.2,0.2,1e-04,16,30,0.41747573018074,30
64,32,0.3,0.2,1e-04,16,30,0.37864077091217,30
128,32,0.3,0.2,1e-04,16,30,0.466019421815872,30
256,32,0.3,0.2,1e-04,16,30,0.436893194913864,30
64,64,0.3,0.2,1e-04,16,30,0.475728154182434,30
128,64,0.3,0.2,1e-04,16,30,0.436893194913864,30
256,64,0.3,0.2,1e-04,16,30,0.436893194913864,30
128,128,0.3,0.2,1e-04,16,30,0.436893194913864,29
256,128,0.3,0.2,1e-04,16,30,0.45631068944931,30
64,32,0.4,0.2,1e-04,16,30,0.436893194913864,30
128,32,0.4,0.2,1e-04,16,30,0.427184462547302,30
256,32,0.4,0.2,1e-04,16,30,0.45631068944931,30
64,64,0.4,0.2,1e-04,16,30,0.330097079277039,16
128,64,0.4,0.2,1e-04,16,30,0.45631068944931,30
256,64,0.4,0.2,1e-04,16,30,0.427184462547302,30
128,128,0.4,0.2,1e-04,16,30,0.466019421815872,30
256,128,0.4,0.2,1e-04,16,30,0.466019421815872,21
64,32,0.2,0.3,1e-04,16,30,0.398058265447617,30
128,32,0.2,0.3,1e-04,16,30,0.41747573018074,30
256,32,0.2,0.3,1e-04,16,30,0.427184462547302,30
64,64,0.2,0.3,1e-04,16,30,0.330097079277039,30
128,64,0.2,0.3,1e-04,16,30,0.368932038545609,26
256,64,0.2,0.3,1e-04,16,30,0.427184462547302,28
128,128,0.2,0.3,1e-04,16,30,0.495145618915558,30
256,128,0.2,0.3,1e-04,16,30,0.436893194913864,24
64,32,0.3,0.3,1e-04,16,30,0.398058265447617,29
128,32,0.3,0.3,1e-04,16,30,0.436893194913864,30
256,32,0.3,0.3,1e-04,16,30,0.398058265447617,30
64,64,0.3,0.3,1e-04,16,30,0.388349503278732,30
128,64,0.3,0.3,1e-04,16,30,0.475728154182434,30
256,64,0.3,0.3,1e-04,16,30,0.475728154182434,30
128,128,0.3,0.3,1e-04,16,30,0.407766997814178,30
256,128,0.3,0.3,1e-04,16,30,0.475728154182434,26
64,32,0.4,0.3,1e-04,16,30,0.398058265447617,28
128,32,0.4,0.3,1e-04,16,30,0.427184462547302,30
256,32,0.4,0.3,1e-04,16,30,0.3398058116436,30
64,64,0.4,0.3,1e-04,16,30,0.184466019272804,18
128,64,0.4,0.3,1e-04,16,30,0.446601927280426,30
256,64,0.4,0.3,1e-04,16,30,0.485436886548996,30
128,128,0.4,0.3,1e-04,16,30,0.504854381084442,30
256,128,0.4,0.3,1e-04,16,30,0.436893194913864,26
64,32,0.2,0.4,1e-04,16,30,0.407766997814178,30
128,32,0.2,0.4,1e-04,16,30,0.368932038545609,30
256,32,0.2,0.4,1e-04,16,30,0.466019421815872,30
64,64,0.2,0.4,1e-04,16,30,0.427184462547302,30
128,64,0.2,0.4,1e-04,16,30,0.466019421815872,30
256,64,0.2,0.4,1e-04,16,30,0.349514573812485,30
128,128,0.2,0.4,1e-04,16,30,0.427184462547302,30
256,128,0.2,0.4,1e-04,16,30,0.359223306179047,30
64,32,0.3,0.4,1e-04,16,30,0.398058265447617,29
128,32,0.3,0.4,1e-04,16,30,0.37864077091217,30
256,32,0.3,0.4,1e-04,16,30,0.436893194913864,30
64,64,0.3,0.4,1e-04,16,30,0.388349503278732,25
128,64,0.3,0.4,1e-04,16,30,0.41747573018074,30
256,64,0.3,0.4,1e-04,16,30,0.398058265447617,30
128,128,0.3,0.4,1e-04,16,30,0.466019421815872,30
256,128,0.3,0.4,1e-04,16,30,0.466019421815872,30
64,32,0.4,0.4,1e-04,16,30,0.368932038545609,30
128,32,0.4,0.4,1e-04,16,30,0.41747573018074,30
256,32,0.4,0.4,1e-04,16,30,0.45631068944931,30
64,64,0.4,0.4,1e-04,16,30,0.359223306179047,17
128,64,0.4,0.4,1e-04,16,30,0.398058265447617,30
256,64,0.4,0.4,1e-04,16,30,0.45631068944931,30
128,128,0.4,0.4,1e-04,16,30,0.495145618915558,30
256,128,0.4,0.4,1e-04,16,30,0.37864077091217,30
64,32,0.2,0.2,1e-05,16,30,0.223300963640213,16
128,32,0.2,0.2,1e-05,16,30,0.281553387641907,30
256,32,0.2,0.2,1e-05,16,30,0.184466019272804,30
64,64,0.2,0.2,1e-05,16,30,0.242718443274498,17
128,64,0.2,0.2,1e-05,16,30,0.262135922908783,21
256,64,0.2,0.2,1e-05,16,30,0.281553387641907,30
128,128,0.2,0.2,1e-05,16,30,0.300970882177353,16
256,128,0.2,0.2,1e-05,16,30,0.368932038545609,30
64,32,0.3,0.2,1e-05,16,30,0.262135922908783,16
128,32,0.3,0.2,1e-05,16,30,0.271844655275345,30
256,32,0.3,0.2,1e-05,16,30,0.349514573812485,30
64,64,0.3,0.2,1e-05,16,30,0.252427190542221,27
128,64,0.3,0.2,1e-05,16,30,0.271844655275345,16
256,64,0.3,0.2,1e-05,16,30,0.223300963640213,17
128,128,0.3,0.2,1e-05,16,30,0.242718443274498,17
256,128,0.3,0.2,1e-05,16,30,0.281553387641907,16
64,32,0.4,0.2,1e-05,16,30,0.291262149810791,30
128,32,0.4,0.2,1e-05,16,30,0.291262149810791,17
256,32,0.4,0.2,1e-05,16,30,0.291262149810791,17
64,64,0.4,0.2,1e-05,16,30,0.135922327637672,16
128,64,0.4,0.2,1e-05,16,30,0.281553387641907,18
256,64,0.4,0.2,1e-05,16,30,0.281553387641907,21
128,128,0.4,0.2,1e-05,16,30,0.330097079277039,30
256,128,0.4,0.2,1e-05,16,30,0.398058265447617,30
64,32,0.2,0.3,1e-05,16,30,0.281553387641907,30
128,32,0.2,0.3,1e-05,16,30,0.203883498907089,16
256,32,0.2,0.3,1e-05,16,30,0.359223306179047,18
64,64,0.2,0.3,1e-05,16,30,0.194174751639366,21
128,64,0.2,0.3,1e-05,16,30,0.223300963640213,30
256,64,0.2,0.3,1e-05,16,30,0.203883498907089,16
128,128,0.2,0.3,1e-05,16,30,0.3398058116436,26
256,128,0.2,0.3,1e-05,16,30,0.37864077091217,30
64,32,0.3,0.3,1e-05,16,30,0.291262149810791,18
128,32,0.3,0.3,1e-05,16,30,0.213592231273651,16
256,32,0.3,0.3,1e-05,16,30,0.223300963640213,16
64,64,0.3,0.3,1e-05,16,30,0.223300963640213,28
128,64,0.3,0.3,1e-05,16,30,0.262135922908783,17
256,64,0.3,0.3,1e-05,16,30,0.37864077091217,25
128,128,0.3,0.3,1e-05,16,30,0.262135922908783,22
256,128,0.3,0.3,1e-05,16,30,0.252427190542221,19
64,32,0.4,0.3,1e-05,16,30,0.320388346910477,16
128,32,0.4,0.3,1e-05,16,30,0.184466019272804,17
256,32,0.4,0.3,1e-05,16,30,0.407766997814178,28
64,64,0.4,0.3,1e-05,16,30,0.213592231273651,26
128,64,0.4,0.3,1e-05,16,30,0.407766997814178,30
256,64,0.4,0.3,1e-05,16,30,0.349514573812485,22
128,128,0.4,0.3,1e-05,16,30,0.330097079277039,30
256,128,0.4,0.3,1e-05,16,30,0.300970882177353,16
64,32,0.2,0.4,1e-05,16,30,0.242718443274498,18
128,32,0.2,0.4,1e-05,16,30,0.242718443274498,16
256,32,0.2,0.4,1e-05,16,30,0.233009710907936,16
64,64,0.2,0.4,1e-05,16,30,0.368932038545609,16
128,64,0.2,0.4,1e-05,16,30,0.262135922908783,30
256,64,0.2,0.4,1e-05,16,30,0.281553387641907,30
128,128,0.2,0.4,1e-05,16,30,0.300970882177353,16
256,128,0.2,0.4,1e-05,16,30,0.388349503278732,21
64,32,0.3,0.4,1e-05,16,30,0.233009710907936,30
128,32,0.3,0.4,1e-05,16,30,0.203883498907089,17
256,32,0.3,0.4,1e-05,16,30,0.252427190542221,30
64,64,0.3,0.4,1e-05,16,30,0.349514573812485,16
128,64,0.3,0.4,1e-05,16,30,0.262135922908783,16
256,64,0.3,0.4,1e-05,16,30,0.310679614543915,30
128,128,0.3,0.4,1e-05,16,30,0.398058265447617,30
256,128,0.3,0.4,1e-05,16,30,0.320388346910477,30
64,32,0.4,0.4,1e-05,16,30,0.281553387641907,20
128,32,0.4,0.4,1e-05,16,30,0.320388346910477,16
256,32,0.4,0.4,1e-05,16,30,0.223300963640213,20
64,64,0.4,0.4,1e-05,16,30,0.349514573812485,16
128,64,0.4,0.4,1e-05,16,30,0.320388346910477,16
256,64,0.4,0.4,1e-05,16,30,0.174757286906242,16
128,128,0.4,0.4,1e-05,16,30,0.271844655275345,16
256,128,0.4,0.4,1e-05,16,30,0.223300963640213,30
64,32,0.2,0.2,0.01,32,30,0.514563083648682,30
128,32,0.2,0.2,0.01,32,30,0.53398060798645,30
256,32,0.2,0.2,0.01,32,30,0.524271845817566,30
64,64,0.2,0.2,0.01,32,30,0.53398060798645,30
128,64,0.2,0.2,0.01,32,30,0.524271845817566,30
256,64,0.2,0.2,0.01,32,30,0.54368931055069,25
128,128,0.2,0.2,0.01,32,30,0.53398060798645,30
256,128,0.2,0.2,0.01,32,30,0.53398060798645,27
64,32,0.3,0.2,0.01,32,30,0.54368931055069,30
128,32,0.3,0.2,0.01,32,30,0.53398060798645,30
256,32,0.3,0.2,0.01,32,30,0.53398060798645,30
64,64,0.3,0.2,0.01,32,30,0.53398060798645,30
128,64,0.3,0.2,0.01,32,30,0.54368931055069,30
256,64,0.3,0.2,0.01,32,30,0.53398060798645,30
128,128,0.3,0.2,0.01,32,30,0.53398060798645,30
256,128,0.3,0.2,0.01,32,30,0.53398060798645,30
64,32,0.4,0.2,0.01,32,30,0.582524299621582,30
128,32,0.4,0.2,0.01,32,30,0.553398072719574,30
256,32,0.4,0.2,0.01,32,30,0.582524299621582,30
64,64,0.4,0.2,0.01,32,30,0.53398060798645,29
128,64,0.4,0.2,0.01,32,30,0.54368931055069,30
256,64,0.4,0.2,0.01,32,30,0.53398060798645,30
128,128,0.4,0.2,0.01,32,30,0.54368931055069,30
256,128,0.4,0.2,0.01,32,30,0.53398060798645,30
64,32,0.2,0.3,0.01,32,30,0.53398060798645,30
128,32,0.2,0.3,0.01,32,30,0.563106775283813,30
256,32,0.2,0.3,0.01,32,30,0.563106775283813,30
64,64,0.2,0.3,0.01,32,30,0.524271845817566,30
128,64,0.2,0.3,0.01,32,30,0.524271845817566,30
256,64,0.2,0.3,0.01,32,30,0.553398072719574,27
128,128,0.2,0.3,0.01,32,30,0.563106775283813,30
256,128,0.2,0.3,0.01,32,30,0.514563083648682,30
64,32,0.3,0.3,0.01,32,30,0.553398072719574,30
128,32,0.3,0.3,0.01,32,30,0.54368931055069,30
256,32,0.3,0.3,0.01,32,30,0.485436886548996,24
64,64,0.3,0.3,0.01,32,30,0.553398072719574,30
128,64,0.3,0.3,0.01,32,30,0.53398060798645,30
256,64,0.3,0.3,0.01,32,30,0.504854381084442,30
128,128,0.3,0.3,0.01,32,30,0.524271845817566,30
256,128,0.3,0.3,0.01,32,30,0.553398072719574,28
64,32,0.4,0.3,0.01,32,30,0.572815537452698,30
128,32,0.4,0.3,0.01,32,30,0.524271845817566,25
256,32,0.4,0.3,0.01,32,30,0.524271845817566,30
64,64,0.4,0.3,0.01,32,30,0.53398060798645,30
128,64,0.4,0.3,0.01,32,30,0.53398060798645,30
256,64,0.4,0.3,0.01,32,30,0.504854381084442,26
128,128,0.4,0.3,0.01,32,30,0.54368931055069,30
256,128,0.4,0.3,0.01,32,30,0.54368931055069,30
64,32,0.2,0.4,0.01,32,30,0.54368931055069,30
128,32,0.2,0.4,0.01,32,30,0.553398072719574,30
256,32,0.2,0.4,0.01,32,30,0.53398060798645,30
64,64,0.2,0.4,0.01,32,30,0.524271845817566,30
128,64,0.2,0.4,0.01,32,30,0.524271845817566,30
256,64,0.2,0.4,0.01,32,30,0.53398060798645,30
128,128,0.2,0.4,0.01,32,30,0.514563083648682,30
256,128,0.2,0.4,0.01,32,30,0.553398072719574,28
64,32,0.3,0.4,0.01,32,30,0.514563083648682,30
128,32,0.3,0.4,0.01,32,30,0.53398060798645,26
256,32,0.3,0.4,0.01,32,30,0.563106775283813,30
64,64,0.3,0.4,0.01,32,30,0.54368931055069,30
128,64,0.3,0.4,0.01,32,30,0.514563083648682,28
256,64,0.3,0.4,0.01,32,30,0.504854381084442,30
128,128,0.3,0.4,0.01,32,30,0.524271845817566,30
256,128,0.3,0.4,0.01,32,30,0.53398060798645,27
64,32,0.4,0.4,0.01,32,30,0.563106775283813,30
128,32,0.4,0.4,0.01,32,30,0.553398072719574,30
256,32,0.4,0.4,0.01,32,30,0.54368931055069,30
64,64,0.4,0.4,0.01,32,30,0.572815537452698,30
128,64,0.4,0.4,0.01,32,30,0.582524299621582,30
256,64,0.4,0.4,0.01,32,30,0.524271845817566,30
128,128,0.4,0.4,0.01,32,30,0.53398060798645,30
256,128,0.4,0.4,0.01,32,30,0.54368931055069,30
64,32,0.2,0.2,0.001,32,30,0.504854381084442,30
128,32,0.2,0.2,0.001,32,30,0.514563083648682,28
256,32,0.2,0.2,0.001,32,30,0.514563083648682,30
64,64,0.2,0.2,0.001,32,30,0.563106775283813,30
128,64,0.2,0.2,0.001,32,30,0.524271845817566,30
256,64,0.2,0.2,0.001,32,30,0.504854381084442,30
128,128,0.2,0.2,0.001,32,30,0.495145618915558,29
256,128,0.2,0.2,0.001,32,30,0.514563083648682,25
64,32,0.3,0.2,0.001,32,30,0.466019421815872,22
128,32,0.3,0.2,0.001,32,30,0.514563083648682,28
256,32,0.3,0.2,0.001,32,30,0.466019421815872,30
64,64,0.3,0.2,0.001,32,30,0.504854381084442,30
128,64,0.3,0.2,0.001,32,30,0.53398060798645,27
256,64,0.3,0.2,0.001,32,30,0.495145618915558,30
128,128,0.3,0.2,0.001,32,30,0.514563083648682,30
256,128,0.3,0.2,0.001,32,30,0.504854381084442,30
64,32,0.4,0.2,0.001,32,30,0.563106775283813,30
128,32,0.4,0.2,0.001,32,30,0.466019421815872,30
256,32,0.4,0.2,0.001,32,30,0.514563083648682,30
64,64,0.4,0.2,0.001,32,30,0.514563083648682,24
128,64,0.4,0.2,0.001,32,30,0.466019421815872,28
256,64,0.4,0.2,0.001,32,30,0.495145618915558,30
128,128,0.4,0.2,0.001,32,30,0.504854381084442,27
256,128,0.4,0.2,0.001,32,30,0.514563083648682,30
64,32,0.2,0.3,0.001,32,30,0.514563083648682,30
128,32,0.2,0.3,0.001,32,30,0.504854381084442,30
256,32,0.2,0.3,0.001,32,30,0.524271845817566,28
64,64,0.2,0.3,0.001,32,30,0.475728154182434,30
128,64,0.2,0.3,0.001,32,30,0.485436886548996,30
256,64,0.2,0.3,0.001,32,30,0.572815537452698,30
128,128,0.2,0.3,0.001,32,30,0.514563083648682,30
256,128,0.2,0.3,0.001,32,30,0.524271845817566,30
64,32,0.3,0.3,0.001,32,30,0.504854381084442,30
128,32,0.3,0.3,0.001,32,30,0.53398060798645,30
256,32,0.3,0.3,0.001,32,30,0.514563083648682,30
64,64,0.3,0.3,0.001,32,30,0.495145618915558,30
128,64,0.3,0.3,0.001,32,30,0.485436886548996,30
256,64,0.3,0.3,0.001,32,30,0.495145618915558,30
128,128,0.3,0.3,0.001,32,30,0.485436886548996,23
256,128,0.3,0.3,0.001,32,30,0.514563083648682,30
64,32,0.4,0.3,0.001,32,30,0.53398060798645,30
128,32,0.4,0.3,0.001,32,30,0.485436886548996,30
256,32,0.4,0.3,0.001,32,30,0.475728154182434,30
64,64,0.4,0.3,0.001,32,30,0.45631068944931,30
128,64,0.4,0.3,0.001,32,30,0.53398060798645,30
256,64,0.4,0.3,0.001,32,30,0.485436886548996,30
128,128,0.4,0.3,0.001,32,30,0.524271845817566,30
256,128,0.4,0.3,0.001,32,30,0.54368931055069,30
64,32,0.2,0.4,0.001,32,30,0.504854381084442,28
128,32,0.2,0.4,0.001,32,30,0.524271845817566,30
256,32,0.2,0.4,0.001,32,30,0.45631068944931,23
64,64,0.2,0.4,0.001,32,30,0.504854381084442,30
128,64,0.2,0.4,0.001,32,30,0.504854381084442,30
256,64,0.2,0.4,0.001,32,30,0.495145618915558,30
128,128,0.2,0.4,0.001,32,30,0.553398072719574,30
256,128,0.2,0.4,0.001,32,30,0.514563083648682,30
64,32,0.3,0.4,0.001,32,30,0.54368931055069,30
128,32,0.3,0.4,0.001,32,30,0.475728154182434,30
256,32,0.3,0.4,0.001,32,30,0.495145618915558,30
64,64,0.3,0.4,0.001,32,30,0.475728154182434,25
128,64,0.3,0.4,0.001,32,30,0.475728154182434,30
256,64,0.3,0.4,0.001,32,30,0.475728154182434,30
128,128,0.3,0.4,0.001,32,30,0.524271845817566,30
256,128,0.3,0.4,0.001,32,30,0.485436886548996,30
64,32,0.4,0.4,0.001,32,30,0.495145618915558,30
128,32,0.4,0.4,0.001,32,30,0.54368931055069,30
256,32,0.4,0.4,0.001,32,30,0.495145618915558,30
64,64,0.4,0.4,0.001,32,30,0.53398060798645,30
128,64,0.4,0.4,0.001,32,30,0.504854381084442,27
256,64,0.4,0.4,0.001,32,30,0.495145618915558,30
128,128,0.4,0.4,0.001,32,30,0.524271845817566,30
256,128,0.4,0.4,0.001,32,30,0.504854381084442,30
64,32,0.2,0.2,1e-04,32,30,0.37864077091217,30
128,32,0.2,0.2,1e-04,32,30,0.37864077091217,30
256,32,0.2,0.2,1e-04,32,30,0.291262149810791,16
64,64,0.2,0.2,1e-04,32,30,0.446601927280426,30
128,64,0.2,0.2,1e-04,32,30,0.388349503278732,30
256,64,0.2,0.2,1e-04,32,30,0.45631068944931,30
128,128,0.2,0.2,1e-04,32,30,0.41747573018074,30
256,128,0.2,0.2,1e-04,32,30,0.514563083648682,30
64,32,0.3,0.2,1e-04,32,30,0.281553387641907,16
128,32,0.3,0.2,1e-04,32,30,0.330097079277039,30
256,32,0.3,0.2,1e-04,32,30,0.37864077091217,30
64,64,0.3,0.2,1e-04,32,30,0.41747573018074,30
128,64,0.3,0.2,1e-04,32,30,0.368932038545609,30
256,64,0.3,0.2,1e-04,32,30,0.427184462547302,30
128,128,0.3,0.2,1e-04,32,30,0.398058265447617,30
256,128,0.3,0.2,1e-04,32,30,0.45631068944931,30
64,32,0.4,0.2,1e-04,32,30,0.41747573018074,30
128,32,0.4,0.2,1e-04,32,30,0.398058265447617,30
256,32,0.4,0.2,1e-04,32,30,0.388349503278732,30
64,64,0.4,0.2,1e-04,32,30,0.291262149810791,16
128,64,0.4,0.2,1e-04,32,30,0.436893194913864,30
256,64,0.4,0.2,1e-04,32,30,0.45631068944931,30
128,128,0.4,0.2,1e-04,32,30,0.54368931055069,30
